Construction Planning And Management,
Prestressed Concrete,
Structural Dynamics And Earthquake Engineering,
Yarn Formation III,
Fabric Manufacturing III,
Textile Chemical Processing III,
Fabric Design,
Digital Control System,
Control System-II,
Systemic Condition & The Eye,
Fundamentals Of Clinical Research Methods,
Specialized Contact Lens,
Applied Optometry And Orthoptics,
Systemic Condition Of The Eye,
Public Health & Community Optometry,
Contact Lens-II,
Applied Optometry & Orthoptics,
Chemistry & Technology Of Post Tanning Operations,
Physical Testing Of Leather,
Mechanics Of Leather Machines And Design Of Machine Parts,
Material Science,
Safety & Occupational Health Of Leather Industry,
Structure – IV,
Building Services – II,
History Of Architecture–V(Contemporary),
Analytical Instrumentation,
Biomedical Digital Signal Processing,
Biomaterials & Tissue Engineering,
Biomechanics & Implants,
Advanced Medical Imaging Techniques,
Artificial Organs & Rehabilitation Engineering,
Laser & Fiber Optics In Medicine,
AutomotIVe Transmission,
Hybrid & Electric Vehicles,
QuantitatIVe Methods For Decision Making,
Electronic Vehicle Management System,
Transport Management & Motor Vehicles Act,
Quality In Healthcare,
Health Insurance,
Biomedical Waste Management,
Nutrition,
Cardio Vascular Diseases,
Emergency Service Department,
Disaster Management Online Courses,
Medical Ethics,
Food Process Technology - III (Milk And Milk Products),
Food Process Technology - IV (Edible Fats And Oils),
"Food Process Technology - V (Bakery, Confectionary And
Extruded Foods)",
Enzyme Technology,
"Plant Maintenance, Safety & Hygiene",
Food AdditIVes,
Database Management System (Dbms),
Environment And Development Communication,
New Media Products And Related Software Programs,
Multimedia Journalism,
Audio Visual Production- Fiction,
Digital Media Graphics,
Tourism Organization And Travel Documentation,
Eco-Tourism,
Travel Agency And Management-II,
Airfare And Ticketing –II,
Tour Package Operation-I,
Voyage Planning & Ecdis,
Naval Architecture Paper-II,
Ship Maneuvering & Collision Prevention Regulations,
Imo & International Convention,
Human Resource Management Development & Leadership,
Marine Environmental Protection,
Project Management & Supply Chain Process,
International Operations & Global Supply Chain,
Supply Chain And Logistics Management,
Human Resource Analytics,
Advertising & Sales Promotion,
Industrial Relations,
Public Service Management,
Financial Management - III,
Marketing Management - III,
Human Resource Management - III,
Health Care Management,
Social Research Methods,
Apparel Quality Assurance,
It & Cad/Cam In Apparel Production,
Technology Of Apparel Machinery And Maintenance,
"Apparel Merchandising , Costing & Production Planning",
Advance Pattern Making And Garment Construction,
Home Furnishing,
Solid & Hazardous Waste Treatment,
Industrial Waste Treatment,
Operations Research (M),
Human Resource Management (Hss),
Materials Handling (Me),
Construction Planning & Management,
Microbial Tech & Biotechnology,
Artificial Intelligence(Ai),
Bio Medical Instrumentation,
Entrepreneurship And Small Business Management,
Strategic Management,
Genetic Modification In Agriculture And Medicine,
Environmental Biotechnology,
Genetic Modification In Agriculture Food And Medical Industry,
Developmental Genetics,
Virology,
Microbes In Sustainable Agriculture And Development,
Biosafety And Intellectual Properties Rights,
Ict & E-Tourism,
"Travel Preparation, Safety And Wellness",
Travel Agency & Tour Operation Management II,
Mice Management II,
Group & Health Insurance.,
Reinsurance & Insurance Marketing.,
Project & Operational Risk Management.,
Financial & Treasury Risk Management.,
Social Research Methods.,
Supply Chain Practices& Procedure,
Project Management & Supply Chain Process Redesign,
Logistics Information Systems,
Human Resource Development And Organizatio Nal Behaviour,
Data Preparation And Analysis,
Design & Analysis Of Algorithms,
Information Security,
Data Mining And Analytics,
Cyber Law Ethics,
Robotics And Embedded Systems,
Software Design With Uml,
Games & Applications Design,
Design Processes & PerspectIVes,
Infrastructure Security,
Design Thinking,
Humanities II (Or),
Low Cost Affordable Housing & Space Saving Interiors,
Business Operations Management,
Research Methodology For Business,
"Strategic Tourism Management & Entrepreneurship
Development In Tourism",
Travel Agencies & Organizations In Heritage Tourism,
Business Laws In Travel & Tourism,
Corporate Banking Operations,
Mergers And Acquisition,
Portfolio Management,
"Professional Skills Development &Ethical And Professional
Standards",
Sensor Network And Iot,
Application Of Psychology In Healthcare Management,
Physiotherapy In Community Based Rehabilitation,
Biomechanics & Kinesiology,
Muscular & Skeletal System,
Social Media And Web Analytics,
Advanced Business Intelligence,
Information DrIVen Entrepreneurship And Enterprise,
Restoration And Renovation Of Building Interiors,
"Sustainable & Ethical Studies - IV Dissertation (3,000 Words)",
Professional Practice,
Health And Wellness Psychology,
Psychological Constructs Related To Different Spheres Of Society,
Auditing & Assurance,
Indirect Tax Law Practices,
International Business,
Data Visualization And Interpretation,
"Sustainable & Ethical Studies IV - Case Study/Dissertation
(3,000 Words)",
"Fashion Entrepreneurship, Communication & Brand
Development",
Indian Economy-II,
Development Economics-II,
Financial Economics,
MultIVariate Analysis And Nonparametric Methods,
Counselling Psychology,
Engineering Psychology,
Community Psychology,
Forensic Psychology,
Multimedia,
"Formation Of A Company Or Firm Start-Up. Getting The Place Of
Establishment And Getting All Required Registration. Opening Of Bank Account, Etc",
"Actual Financial Planning And Budgeting. Tips For Sustainability
And Growth.",
"Business Plan Presentation + Getting Investors, Partners, And
Other Stakeholders On Board.",
"Actual Working On Project. Hiring Of People. Customer
Acquisition, Vendor Development.",
"Official Launch Of The Business. Planning For The Launch, Press
Conference, Ad Promotion, Final Launch",
E-Commerce And M-Commerce,
Acting For Animators,
Advance Character Animation,
Latin American  Cinema,
"Post Production Techniques - Sound, Colour Correction & Vfx",
"Entrepreneurship Mindset Development (Karma Yoga - Field
Work)",
Teaching Practice,
Bhagavad Gita-II,
"LIVe Action; Compositing, Set Extension,
Cinematography",
Advance Compositing & Cg Integration,
Digital Commerce,
Artificial Intelligence In Cyber Security & Industry Use Cases,
Advanced Ethical Hacking,
Block Chain & Cryptocurrency,
Penetration Testing,
Risk Management,
Global Certification,
Basic Laboratory Management,
Research Methodology And Research Project,
Food And Wine Philosophy,
Kitchen Facilities Planning (Th.),
Environmental Consciousness (Th.),
Entrepreneurship & Restaurant Start Up (Th.),
Food Safety Management (Th.),
"Institutional, Hospital & Industrial Catering",
Advance Food Production Operations & Food Costing - II,
"Advance Food & Beverage Operations And Bar Management -
II",
Advance Front Office & Accommodation Management - II,
Equipment Maintenance & Troubleshooting,
Radiation Biophysics,
Concepts Of Renal Diseases,
Renal Disease Therapeutics,
Food Safety And Quality Control,
Geriatric Nutrition,
Nutritional Management And Diet Counseling,
Portfolio Making,
Final Collection,
Communication Design,
Animation Film Making,
Digital Photography,
Writing And Presentation Skills,
Graphics Design,
Animation Design,
Soft Skill & Interpersonal Communication,
E-Commerce(It),
Open ElectIVe-III Big Data Analysis,
Error Correcting Codes,
Satellite Communication & Remote Sensing,
Renewable Energy (Ee),
Cryogenics,
Data Sciences,
Cad/Cam,
Industrial Robotics,
Quality & Reliability Engineering,
Safety & Occupational Health,
Water Resource Engineering,
Automobile Engineering,
"Professional Practice, Law & Ethics",
Gis & Remote Sensing,
Rock Mechanics,
Environmental Laws And Policy,
Pavement Materials And Design,
Bridge Engineering,
Deep Foundations,
Groundwater Contamination,
Soft Skills And Personality Development,
Earthquake Engineering,
Urban Transport Planning,
Environmental Impact Assessment And Life Cycle Analysis,
Environmental Pollution And Control,
Water Resource Management And Planning,
Dynamics Of Soils & Foundations,
Pavement Design,
Merchandising,
Textile Mill Planning & Organization,
Costing And Accountancy,
Line –Commutated And ActIVe Pwm Rectifiers,
Power System Dynamics & Control,
Advanced Electric DrIVes,
Introduction To Machine Learning,
Illumination Engineering,
Digital Speech Signal Processing,
Power Plant Instrumentation & Control,
Sensors & Transducers,
Plant Layout And Entrepreneurship For Leather Sector,
Technology Of Animal And Tannery Byproducts Utilization 2,
Pharma Marketing Management,
Advanced Instrumentation Techniques,
Computer Aided Drug Design(ElectIVe),
Pharma Marketing Management(ElectIVe),
Advanced Instrumentation Techniques(ElectIVe),
Pharmaceutical Analysis,
Pharmaceutical Industrial Management,
Pharmaceutical Jurisprudence & Ethics,
Hospital Pharmacy & Clinical Pharmacy,
Indian Heritage,
Environmental Issues,
Energy Eff. Architecture,
Housing & Comm. Planning,
Disaster Mitigation,
Disaster Resistant Architecture,
Home Medicare Technology,
Biomedical Hazards & Safety,
Bioinformatics & Expert System,
Quality Control & Regulatory Aspects Of Medical Devices,
Design Concept & Maintenance Of Biomedical Instruments,
Virtual Instrumentation Design For Medical System,
Off Road Vehicles,
AutomotIVe Air Conditioning,
Non-DestructIVe Testing Methods,
"Noise, Vibrations And Harshness",
Finite Element Method & Its Applications,
Robotics And Robot Application,
Engineering Economy & Financial Managment,
Off Road Vehicle,
Alternate Fuels And Energy Systems,
Environment Pollution And Control (Ce),
Water Resource Management And Planning (Ce),
Remote Sensing And Gis(Ce),
Finite Element Method (Ce),
Pavement Design (Ce),
Natural Resources : Renewable And Non-Renewable Resources,
Cost EffectIVe Effluent Treatment,
Data Science Ethics,
Security Assessment And Risk Analysis,
Cryptology,
Business Communication & Value Science,
Services Science & Service Operational Management,
Multimedia Systems,
Fiber Optic Communication,
Microelectronics And Vlsi Design,
Green Bldg And Sust. Arch,
Operations And Project Management,
Indian Economy And Policy,
"Financial Reporting,Statements And Analysis",
Material Management,
Hospital Planning,
Health Management Information System,
Research Methodology And QuantitatIVe Methods,
Procesor Architecture For Vlsi,
Digital Signal Processing And Application,
Analog Ic Design,
Quantum & Nano Science,
Error Control & Codding,
Sensors,
Rf Circuits & Systems,
Advanced Micro & Nano Devices,
Antennas And Radiating Systems,
Advanced Digital Signal Processing,
Satellite Communication,
Markov Chain And Queuing System,
Mimo System,
Photonics And Optical Communication,
Colloid And Surface Chemistry,
Instrumental Methods Of Analysis,
Chemistry Of Vegetable Tannins And Syntans,
Industrial Relations And Engineering Economics,
Chemistry Of Dyes And Colorants,
Advanced Reactor Design & Analysis,
Advanced Mass Transfer,
Advanced Chemical Engineering & Thermodynamics,
Petrochemical Technology,
Theory Of Computation,
"Cluster, Grid And Cloud Computing",
Advanced Web Technology,
Cryptography & Computer Security,
Real-Time Embedded Systems & Programming,
Distributed System Principle,
Distributed Computing System,
Cloud Cluster & Grid Computing,
Theoritical Soil Mechanics,
Dynamics Of Soil And Foundation,
Advanced Foundation Engineering - II,
Ground Improvement Techniques,
Design Of Road Pavements,
Earth And Earth Retaining Structures,
Environmental Geotechnology,
Prestressed Concrete Structures,
Advance Concrete Technology,
Automated Manufacturing Systems,
Advanced Manufacturing Processes,
Cad/Cam/Cim,
Finite Element Methods In Engineering,
Advanced Material Science & Engineering,
Product Design & Development,
Material Characterization Methods And Testing,
Application Of Mechatronic Systems,
Advanced Microprocessor And Microcontrollers,
Industrial Automation,
Micro Mechatronics Systems,
Product Design,
Digital Image Processing & Machine Vision,
Vlsi Technology,
Numerical Control Of Machine Tools,
Quality Management & Reliability,
Materials Handling System,
Advance Metal Forming And Joining Process,
Cad / Cam System,
Automation In Manufacturing,
Modern Machining Processes,
Machine Tools Engineering,
Micro And Precision Manufacturing,
Mechatronic Systems Design And Applications,
Safety And Occupational Health Management,
Cad-Cam Systems,
Product Design And Development,
English For Research Paper Writing,
Sanskrit For Technical Knowledge,
Object Oriented Software Design,
Multimedia  Design & E-Learning,
Topics On Dbms,
Intelligent Computing,
Computer Security,
Advanced Food Process Engineering,
Food Safety & Quality Assurance,
Advanced Techniques Of Food Analysis,
Advanced Enzyme Engineering And Technology,
Advanced Waste Treatment And Engineering,
Advanced Food Biotechnology,
Modern Food Packaging Technology,
Design Of Experiments & Statistical Techniques,
Textured Yarn Technology,
Non Woven And Speciality Textiles,
Textile Chemical And Ecology,
Principles Of Colour Measurment & Communication,
Theory & Practices Of Textile Finishing,
Power System Instrumentation,
Advanced Power System Protection,
Power System Transients,
Advanced Microprocessor & Microcontroller,
Power Electronics-II,
Special Electrical Machines,
Generation Of Non Conventional Energy,
Analog Vlsi  Design,
Design For Testing And Verifications,
Rf-Vlsi Design,
Digital Signal And Image Processing.,
Theory & Design Of Yarn Forming & Machineries,
Theory & Design Of Febric Forming & Machineries,
Advanced Fibre Technology,
"Mathematical Modeling & Analysis Of Electrical
Machine",
Electric DrIVes & Their Control,
Engineering Optimization,
Ehv Ac & Dc Transmission,
Regression For PredictIVe Model Building,
Optimization Techniques And Soft Computing,
Stochastic Processes And Its Application,
Time Series Analysis And Forecasting Methods,
Evolution Of Statistical Thinking,
Multiple Testing Problems,
"Robust Statistical Inference And Application To PredictIVe
Model Building",
Econometrics,
Advanced Spectral Analysis,
Advanced Organic Chemistry-II,
Pharmaceutical Process Chemistry,
Advanced Pharmacology II,
"Pharmacological And Toxicological Screening
Methods-II",
Principles Of Drug Discovery,
Clinical Research And Pharmacovigilance,
"Molecular Pharmaceutics (Nano  Tech  And  Targeted
Dds)",
Advanced Biopharmaceutics & Pharmacokinetics,
Computer Aided Drug DelIVery System,
Cosmetic And Cosmeceuticals,
Medicinal Plant Biotechnology,
Advanced Pharmacognosy-II,
Indian System Of Medicine,
Herbal Cosmetics,
Advanced Instrumental Analysis,
Modern Bio-Analytical Techniques,
Quality Control And Quality Assurance,
Herbal And Cosmetic Analysis,
Proteins And Protein Formulation,
Immunotechnology,
Bioinformatics And Computer Technology,
Biological Evaluation Of Drug Therapy,
Hazards And Safety Management,
Pharmaceutical Validation,
Audits And Regulatory Compliance,
Pharmaceutical Manufacturing Technology,
Contruction Technology & Management,
Advanced Biopharmaceutics And Pharmacokinetics,
Scale Up And Technology Transfer,
Pharmaceutical Production Technology,
Entrepreneurship Management,
Control System II,
Process Instrumentation & Control,
Digital And Social Media Marketing,
Big Data Analytics In Business,
Ecosystems And Challenging Ecological Realms,
"Forestry, Wildlife Conservation And Ecotourism",
Hydrology & Water Resources Management,
"Environmental Risks, Vulnerability & Sustainability",
Environmental Engineering And   Pollution Control Technology,
Natural Resources Management & Sustainability,
Innovation In Agriculture,
Semiotics  And Cultural Studies,
Production Management For Animation,
Production Management In Visual Design,
Multimedia And E-Commerce (Design Domain),
Common Ailments - I,
Patanjali Yoga Sutras,
Hatha Yoga,
Advanced Programming In Python,
Data Visualisation Using Business Intelligence,
Data Science,
Knowledge Representation And Reasoning,
Research Methodology And Ipr,
Advanced Data Mining,
Geographical Information System,
Cyber Law And Security Policies,
Advanced Database,
Data Warehouse And Data Mining,
Data Security,
Web Analytics And Development,
Knowledge Discovery,
Advanced Machine Design,
Production & Operation Management,
Design Of Material Handling Equipment,
Advanced Robotics,
Composite Material & Structure,
Advanced Metrology,
Value & Ethics In Industrial Management,
Data Structure With Python,
Object Oriented Programming With Java,
Networking,
Numerical And Statistical Analysis,
Introduction To Cyber Security,
Introduction To Iot,
Automata Theory & Computational Complexity,
Object Oriented Analysis And Design,
Modern Computing Scenario,
